2025-09-09T16:28:58.377827 | INFO     | webgcs.mavlink.connection | ConnectionManager initialized for 192.168.193.235:5678
2025-09-09T16:28:58.377900 | INFO     | webgcs.mavlink.processor | MessageProcessor initialized
2025-09-09T16:28:58.377925 | INFO     | webgcs.mavlink.commands | CommandSender initialized
2025-09-09T16:28:58.377945 | INFO     | webgcs.mavlink.service | MAVLinkService initialized for 192.168.193.235:5678
2025-09-09T16:30:37.215928 | INFO     | webgcs          | Starting WebGCS application...
2025-09-09T16:30:37.232382 | INFO     | webgcs.mavlink.connection | ConnectionManager initialized for 192.168.193.235:5678
2025-09-09T16:30:37.232433 | INFO     | webgcs.mavlink.processor | MessageProcessor initialized
2025-09-09T16:30:37.232452 | INFO     | webgcs.mavlink.commands | CommandSender initialized
2025-09-09T16:30:37.232471 | INFO     | webgcs.mavlink.service | MAVLinkService initialized for 192.168.193.235:5678
2025-09-09T16:30:37.232487 | INFO     | webgcs          | Starting MAVLink service...
2025-09-09T16:30:37.232499 | INFO     | webgcs.mavlink.service | Starting MAVLink service
2025-09-09T16:30:37.232514 | INFO     | webgcs.mavlink.service | Connection state changed to: connecting
2025-09-09T16:30:37.232542 | INFO     | webgcs.mavlink.connection | Connecting to drone at tcp:192.168.193.235:5678
2025-09-09T16:30:38.156130 | INFO     | webgcs.mavlink.state | Heartbeat monitor started
2025-09-09T16:30:38.156180 | INFO     | webgcs.mavlink.service | Connection state changed to: connected
2025-09-09T16:30:38.156213 | INFO     | webgcs.mavlink.connection | Successfully connected to drone at 192.168.193.235:5678
2025-09-09T16:30:38.156295 | INFO     | webgcs.mavlink.service | Message processing loop started
2025-09-09T16:30:38.156971 | INFO     | webgcs.mavlink.service | Message processing started
2025-09-09T16:30:38.157041 | INFO     | webgcs.mavlink.service | Telemetry streaming loop started
2025-09-09T16:30:38.157091 | INFO     | webgcs.mavlink.service | Telemetry streaming started
2025-09-09T16:30:38.157698 | INFO     | webgcs.mavlink.service | MAVLink service started successfully
2025-09-09T16:30:38.157888 | INFO     | webgcs          | MAVLink service started successfully
2025-09-09T16:30:38.158461 | INFO     | webgcs          | WebGCS starting on localhost:5001
2025-09-09T16:30:38.158483 | INFO     | webgcs          | Drone endpoint: 192.168.193.235:5678
2025-09-09T16:31:10.894504 | INFO     | webgcs.mavlink.connection | ConnectionManager initialized for 192.168.193.235:5678
2025-09-09T16:31:10.894559 | INFO     | webgcs.mavlink.processor | MessageProcessor initialized
2025-09-09T16:31:10.894579 | INFO     | webgcs.mavlink.commands | CommandSender initialized
2025-09-09T16:31:10.894599 | INFO     | webgcs.mavlink.service | MAVLinkService initialized for 192.168.193.235:5678
2025-09-09T16:32:01.721619 | INFO     | webgcs.mavlink.connection | ConnectionManager initialized for 192.168.193.235:5678
2025-09-09T16:32:01.721672 | INFO     | webgcs.mavlink.processor | MessageProcessor initialized
2025-09-09T16:32:01.721692 | INFO     | webgcs.mavlink.commands | CommandSender initialized
2025-09-09T16:32:01.721709 | INFO     | webgcs.mavlink.service | MAVLinkService initialized for 192.168.193.235:5678
2025-09-09T16:32:12.465855 | ERROR    | webgcs          | Error rendering index page: index.html
2025-09-09T16:32:21.095024 | ERROR    | webgcs          | Error rendering index page: index.html
2025-09-09T16:32:25.241905 | ERROR    | webgcs          | Error rendering index page: index.html
2025-09-09T16:32:51.687249 | INFO     | webgcs.mavlink.connection | ConnectionManager initialized for 192.168.193.235:5678
2025-09-09T16:32:51.687309 | INFO     | webgcs.mavlink.processor | MessageProcessor initialized
2025-09-09T16:32:51.687332 | INFO     | webgcs.mavlink.commands | CommandSender initialized
2025-09-09T16:32:51.687352 | INFO     | webgcs.mavlink.service | MAVLinkService initialized for 192.168.193.235:5678
2025-09-09T16:36:51.676760 | INFO     | webgcs          | Client connected: HWIQSwQAkhqfP0TkAAAB
2025-09-09T16:42:04.722487 | INFO     | webgcs          | Client connected: ZFw8PnTxzRtJ3O-nAAAD
2025-09-09T16:42:05.309219 | INFO     | webgcs          | Client disconnected: ZFw8PnTxzRtJ3O-nAAAD
2025-09-09T16:42:05.713987 | INFO     | webgcs          | Client connected: wy4R7lTQsqIJSpOrAAAF
2025-09-09T16:42:06.320612 | INFO     | webgcs          | Client disconnected: wy4R7lTQsqIJSpOrAAAF
2025-09-09T16:42:07.624666 | INFO     | webgcs          | Client connected: ZcHVLX7a9yVWe-WWAAAH
